epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2277,0.79242,2.47516,1.14669,0.00333,1,0.93198,0.84231,0.43939,2.8165,1.04621,0.0002,0.0002,0.0002
2,45.516,0.48962,1.32264,0.95206,1,0.78783,0.97778,0.88839,0.5717,2.51185,1.22937,0.000411684,0.000411684,0.000411684
3,71.7072,0.47009,1.03111,0.9446,0.9875,0.96331,0.99116,0.91344,0.51019,1.84295,1.15609,0.000614656,0.000614656,0.000614656
4,94.9735,0.55726,1.09816,0.97693,0.98366,0.97561,0.98525,0.90325,0.48066,1.55957,1.04332,0.000808916,0.000808916,0.000808916
5,117.098,0.57196,1.02743,0.98183,0.97582,0.98426,0.99306,0.9245,0.54858,1.67129,1.06787,0.000994464,0.000994464,0.000994464
6,139.148,0.49618,0.91121,0.93209,0.98734,0.97561,0.99391,0.88832,0.57364,1.4571,1.108,0.0011713,0.0011713,0.0011713
7,161.21,0.50139,0.9449,0.95308,0.98371,1,0.99331,0.87807,0.57988,1.41147,1.12152,0.00133942,0.00133942,0.00133942
8,183.181,0.52747,0.89361,0.97842,0.98484,0.9878,0.99389,0.87314,0.64987,1.42506,1.24836,0.00149884,0.00149884,0.00149884
9,205.326,0.52842,0.85894,0.9366,0.96383,0.97498,0.98956,0.90192,0.53499,1.21549,1.0654,0.00164954,0.00164954,0.00164954
10,227.781,0.46686,0.85583,0.92758,0.99795,0.95122,0.98656,0.89809,0.56943,1.31713,1.0707,0.0016436,0.0016436,0.0016436
11,250.234,0.55195,0.88159,0.96617,0.9706,0.96341,0.98755,0.87855,0.58987,1.32366,1.05909,0.001604,0.001604,0.001604
12,272.345,0.48676,0.86937,0.94603,0.99882,0.97561,0.99298,0.92718,0.47435,1.11472,0.99405,0.0015644,0.0015644,0.0015644
13,294.402,0.52849,0.78314,0.94434,0.99825,0.97561,0.99342,0.93919,0.44409,1.09115,0.97561,0.0015248,0.0015248,0.0015248
